ID,dct:source,ms:resourceName,metadataRecordIdentifier,resourceCreator,ORCID,Creation date,licence,size/amount,categoryLabel,LCRsubclass,subject,language,landingPage,generalDocumentation,annotationSchema,dataFormat,sourceMetadataGeneration,META-SHARE property,ontology,externalResource,externalResource/comment,downloadLocation,distributionLocation/comment,accessLocation ,accessibleThroughQuery,accessibleThroughQuery/comment,comment,,
1172,LOD Cloud,Amino Acid,bioportal-amino-acid,,,,,1562,life_sciences,,,English,http://bioportal.bioontology.org/ontologies/1054,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services,,,,,,,,,,,,,,,
1173,LOD Cloud,Amphibian gross anatomy,bioportal-aao,,,,,17511,life_sciences,,,,http://bioportal.bioontology.org/ontologies/1090,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services,,,,,,,,,,,,,,,
1174,LOD Cloud,Amphibian taxonomy,bioportal-ato,,,,,49391,life_sciences,,,English,http://bioportal.bioontology.org/ontologies/1370,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services,,,,,,,,,,,,,,,
647,LOD Cloud,Amsterdam Museum as Linked Open Data in the Europeana Data Model,amsterdam-museum-as-edm-lod,,,,CC-BY-SA,5000000,publications,,,,http://semanticweb.cs.vu.nl/lod/am/,,,,,,,,,,,,,,,,
1175,LOD Cloud,Anatomical Entity Ontology,bioportal-aeo,,,,,3167,life_sciences,,,English,http://bioportal.bioontology.org/ontologies/1568,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services,,,,,,,,,,,,,,,
1176,LOD Cloud,Animal natural history and life history,bioportal-adw,,,,,2151,life_sciences,,,English,http://bioportal.bioontology.org/ontologies/1530,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services,,,,,,,,,,,,,,,
212,LOD Cloud,apache,apache,,,,CC-BY,0,user_generated,,,,,,,,,,,,,,,,,,,,
860,AnnoHub,Apertium Dictionary Afrikaans-Dutch,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Afrikaans,Dutch",,,OntoLex-lemon,,,,,,,,,,,,,,
861,AnnoHub,Apertium Dictionary Aragonese-Catalan,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Aragonese,Catalan",,,OntoLex-lemon,,,,,,,,,,,,,,
862,AnnoHub,Apertium Dictionary Basque-English,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Basque,English",,,OntoLex-lemon,,,,,,,,,,,,,,
863,AnnoHub,Apertium Dictionary Basque-Spanish,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Basque,Spanish",,,OntoLex-lemon,,,,,,,,,,,,,,
864,AnnoHub,Apertium Dictionary Belarusian-Russian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Russian,Belarusian",,,OntoLex-lemon,,,,,,,,,,,,,,
865,AnnoHub,Apertium Dictionary Breton-French,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Breton,French",,,OntoLex-lemon,,,,,,,,,,,,,,
866,AnnoHub,Apertium Dictionary Catalan-Italian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Italian,Catalan",,,OntoLex-lemon,,,,,,,,,,,,,,
867,AnnoHub,Apertium Dictionary Catalan-Sardinian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Catalan,Sardinian",,,OntoLex-lemon,,,,,,,,,,,,,,
868,AnnoHub,Apertium Dictionary Crimean Tatar-Turkish,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Turkish,Crimean Tatar",,,OntoLex-lemon,,,,,,,,,,,,,,
869,AnnoHub,Apertium Dictionary Danish-Norwegian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Norwegian,Danish",,,OntoLex-lemon,,,,,,,,,,,,,,
870,AnnoHub,Apertium Dictionary Danish-Norwegian.Bokmal,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Norwegian Bokmål,Danish",,,OntoLex-lemon,,,,,,,,,,,,,,
871,AnnoHub,Apertium Dictionary English-Catalan,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"English,Catalan",,,OntoLex-lemon,,,,,,,,,,,,,,
872,AnnoHub,Apertium Dictionary English-Galician,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"English,Galician",,,OntoLex-lemon,,,,,,,,,,,,,,
873,AnnoHub,Apertium Dictionary English-Kazakh,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"English,Kazakh",,,OntoLex-lemon,,,,,,,,,,,,,,
874,AnnoHub,Apertium Dictionary English-Spanish,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"English,Spanish",,,OntoLex-lemon,,,,,,,,,,,,,,
875,AnnoHub,Apertium Dictionary Esperanto-Catalan,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Esperanto,Catalan",,,OntoLex-lemon,,,,,,,,,,,,,,
876,AnnoHub,Apertium Dictionary Esperanto-English,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"English,Esperanto",,,OntoLex-lemon,,,,,,,,,,,,,,
877,AnnoHub,Apertium Dictionary Esperanto-French,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Esperanto,French",,,OntoLex-lemon,,,,,,,,,,,,,,
878,AnnoHub,Apertium Dictionary Esperanto-Spanish,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Esperanto,Spanish",,,OntoLex-lemon,,,,,,,,,,,,,,
879,AnnoHub,Apertium Dictionary Icelandic-English,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"English,Icelandic",,,OntoLex-lemon,,,,,,,,,,,,,,
880,AnnoHub,Apertium Dictionary Icelandic-Swedish,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Swedish,Icelandic",,,OntoLex-lemon,,,,,,,,,,,,,,
881,AnnoHub,Apertium Dictionary Indonesian-Malay,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Indonesian,Malay (individual language)",,,OntoLex-lemon,,,,,,,,,,,,,,
882,AnnoHub,Apertium Dictionary Kazakh-Russian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Russian,Kazakh",,,OntoLex-lemon,,,,,,,,,,,,,,
883,AnnoHub,Apertium Dictionary Kazakh-Tatar,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Tatar,Kazakh",,,OntoLex-lemon,,,,,,,,,,,,,,
884,AnnoHub,Apertium Dictionary Macedonian-Bulgarian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Macedonian,Bulgarian",,,OntoLex-lemon,,,,,,,,,,,,,,
885,AnnoHub,Apertium Dictionary Macedonian-English,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"English,Macedonian",,,OntoLex-lemon,,,,,,,,,,,,,,
886,AnnoHub,Apertium Dictionary Malay-Indonesian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Indonesian,Malay (macrolanguage)",,,OntoLex-lemon,,,,,,,,,,,,,,
887,AnnoHub,Apertium Dictionary Maltese-Arabic,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Maltese,Arabic",,,OntoLex-lemon,,,,,,,,,,,,,,
888,AnnoHub,Apertium Dictionary Norwegian.Nynorsk-Norwegian.Bokmal,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Norwegian Bokmål,Norwegian Nynorsk",,,OntoLex-lemon,,,,,,,,,,,,,,
889,AnnoHub,Apertium Dictionary Nothern Sami-Norwegian Bokmal,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Norwegian Bokmål,Northern Sami",,,OntoLex-lemon,,,,,,,,,,,,,,
890,AnnoHub,Apertium Dictionary Occitan-Catalan,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Occitan (post 1500),Catalan",,,OntoLex-lemon,,,,,,,,,,,,,,
891,AnnoHub,Apertium Dictionary Occitan-Spanish,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Occitan (post 1500),Spanish",,,OntoLex-lemon,,,,,,,,,,,,,,
892,AnnoHub,Apertium Dictionary Polish-Silesian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Silesian,Polish",,,OntoLex-lemon,,,,,,,,,,,,,,
893,AnnoHub,Apertium Dictionary Portuguese-Catalan,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Portuguese,Catalan",,,OntoLex-lemon,,,,,,,,,,,,,,
894,AnnoHub,Apertium Dictionary Portuguese-Galician,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Portuguese,Galician",,,OntoLex-lemon,,,,,,,,,,,,,,
895,AnnoHub,Apertium Dictionary Romanian-Catalan,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Catalan,Romanian",,,OntoLex-lemon,,,,,,,,,,,,,,
896,AnnoHub,Apertium Dictionary Russian-Ukainian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Ukrainian,Russian",,,OntoLex-lemon,,,,,,,,,,,,,,
897,AnnoHub,Apertium Dictionary Sardinian-Italian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Italian,Sardinian",,,OntoLex-lemon,,,,,,,,,,,,,,
898,AnnoHub,Apertium Dictionary Serbo Croatian-English,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Serbo-Croatian,English",,,OntoLex-lemon,,,,,,,,,,,,,,
899,AnnoHub,Apertium Dictionary Serbo Croatian-Macedonian,,Christian Chiarcos,,,GPL,,linguistics,lexicons and dictionaries,,"Serbo-Croatian,Macedonian",,,OntoLex-lemon,,,,,,,,,,,,,,
